title,gross_revenue,n_theaters,opening_revenue,release_date,wiki_page,page_created_date
The Water Man,"$383,234",311,"$181,046",2021-05-07,The_Water_Man_(film),2020-08-25
The Dry,"$364,237",186,"$119,364",2021-05-21,The_Dry_(film),2020-08-29
Benedetta,"$354,481",201,"$136,839",2021-12-03,Benedetta_(film),2018-10-21
Escape from Mogadishu,"$346,271",42,"$112,788",2021-08-06,Escape_from_Mogadishu,2021-06-14
The Battle at Lake Changjin,"$342,411",20,"$105,768",2021-11-19,The_Battle_at_Lake_Changjin,2021-06-29
Flee,"$339,754",4,"$24,794",2021-12-03,Flee_(film),2021-02-03
Final Account,"$308,976",308,"$139,985",2021-05-21,Final_Account_(film),2020-08-27
New Order,"$303,556",236,"$144,533",2021-05-21,New_Order_(film),2020-07-30
India Sweets and Spices,"$288,714",343,"$170,629",2021-11-19,India_Sweets_and_Spices,2021-11-28
Blithe Spirit,"$282,500",239,"$88,559",2021-02-19,Blithe_Spirit_(2020_film),2019-06-16
I'm Your Man,"$275,155",16,"$32,917",2021-09-24,I%27m_Your_Man_(2021_film),2021-02-11
A Mouthful of Air,"$269,435",816,"$130,701",2021-10-29,A_Mouthful_of_Air_(film),2019-09-13
Rita Moreno: Just a Girl Who Decided to Go for It,"$264,626",227,"$84,366",2021-06-18,Rita_Moreno:_Just_a_Girl_Who_Decided_to_Go_for_It,2020-12-15
Supernova,"$234,220",330,"$90,096",2021-01-29,Supernova_(2020_film),2020-08-06
Becoming Cousteau,"$231,687",319,"$116,974",2021-10-22,Becoming_Cousteau,2021-08-25
Limbo,"$224,405",208,"$84,710",2021-04-30,Limbo_(2020_film),2020-08-03
Together,"$214,390",250,"$100,066",2021-08-27,Together_(2021_short_film),2021-10-16
Ailey,"$204,513",2,"$15,091",2021-07-23,Ailey_(film),2021-02-03
The Witches,"$203,571",-,-,2021-12-25,The_Witches_(2020_film),2019-01-16
The Resort,"$191,996",114,"$88,831",2021-04-30,The_Resort_(film),2021-04-18
"My Country, My Parents","$177,133",51,"$75,302",2021-10-08,"My_Country,_My_Parents",2021-10-15
Earwig and the Witch,"$173,704",430,"$92,029",2021-02-03,Earwig_and_the_Witch,2020-06-17
I Carry You with Me,"$166,403",4,"$17,127",2021-06-25,I_Carry_You_with_Me,2020-06-01
A Writer's Odyssey,"$160,013",117,"$53,019",2021-02-12,A_Writer%27s_Odyssey,2021-02-15
Shiva Baby,"$159,294",12,"$7,160",2021-04-02,Shiva_Baby,2020-08-01
The East,$180,2,$46,2021-08-13,The_East_(2020_film),2021-03-25
The Unthinkable,$974,3,$655,2021-05-07,The_Unthinkable_(2021_film),2021-10-17
The Evil Next Door,"$1,010",3,$303,2021-06-25,The_Evil_Next_Door,2021-08-11
Agnes,"$2,113",5,"$1,433",2021-12-10,Agnes_(film),2021-09-10
A Glitch in the Matrix,"$2,238",19,"$1,667",2021-02-05,A_Glitch_in_the_Matrix,2021-02-06
Slalom,"$2,788",4,"$1,052",2021-04-09,Slalom_(2020_film),2023-02-27
Paper Spiders,"$2,992",17,"$2,992",2021-05-07,Paper_Spiders,2020-11-22
Naked Singularity,"$3,050",-,"$3,050",2021-08-06,Naked_Singularity_(film),2019-11-17
Mayday,"$4,382",7,"$3,660",2021-10-01,Mayday_(2021_film),2020-03-29
Time Is Up,"$5,095",110,"$5,095",2021-09-09,Time_Is_Up_(film),2021-02-23
The Hating Game,"$5,600",-,-,2021-12-10,The_Hating_Game,2020-11-11
